id,x,y,
246,116583.94418313791,-3703678.99131796,
247,116583.94418313791,-3702678.99131796,
248,116583.94418313791,-3701678.99131796,
249,116583.94418313791,-3700678.99131796,
250,116583.94418313791,-3699678.99131796,
251,116583.94418313791,-3698678.99131796,
252,116583.94418313791,-3697678.99131796,
253,116583.94418313791,-3696678.99131796,
254,116583.94418313791,-3695678.99131796,
255,116583.94418313791,-3694678.99131796,
256,116583.94418313791,-3693678.99131796,
257,116583.94418313791,-3692678.99131796,
258,116583.94418313791,-3691678.99131796,
259,116583.94418313791,-3690678.99131796,
260,116583.94418313791,-3689678.99131796,
261,116583.94418313791,-3688678.99131796,
262,116583.94418313791,-3687678.99131796,
263,116583.94418313791,-3686678.99131796,
264,116583.94418313791,-3685678.99131796,
265,116583.94418313791,-3684678.99131796,
266,116583.94418313791,-3683678.99131796,
267,116583.94418313791,-3682678.99131796,
268,116583.94418313791,-3681678.99131796,
269,116583.94418313791,-3680678.99131796,
270,116583.94418313791,-3679678.99131796,
271,116583.94418313791,-3678678.99131796,
272,116583.94418313791,-3677678.99131796,
273,116583.94418313791,-3676678.99131796,
274,116583.94418313791,-3675678.99131796,
275,116583.94418313791,-3674678.99131796,
276,116583.94418313791,-3673678.99131796,
277,116583.94418313791,-3672678.99131796,
278,116583.94418313791,-3671678.99131796,
279,116583.94418313791,-3670678.99131796,
280,116583.94418313791,-3669678.99131796,
281,116583.94418313791,-3668678.99131796,
282,117583.94418313791,-3714678.99131796,
283,117583.94418313791,-3713678.99131796,
284,117583.94418313791,-3712678.99131796,
285,117583.94418313791,-3711678.99131796,
286,117583.94418313791,-3710678.99131796,
287,117583.94418313791,-3709678.99131796,
288,117583.94418313791,-3708678.99131796,
289,117583.94418313791,-3707678.99131796,
290,117583.94418313791,-3706678.99131796,
291,117583.94418313791,-3705678.99131796,
292,117583.94418313791,-3704678.99131796,
293,117583.94418313791,-3703678.99131796,
294,117583.94418313791,-3702678.99131796,
295,117583.94418313791,-3701678.99131796,
296,117583.94418313791,-3700678.99131796,
297,117583.94418313791,-3699678.99131796,
