id,x,y,
1,150890.34623688602,-3706327.3270552666,
10,131105.70054376544,-3685287.4101342116,
1003,149628.78126419612,-3704350.3698924365,
1005,138872.10119811943,-3697353.04027095,
1006,136838.3419794111,-3694722.8536900464,
1007,137105.70518622818,-3694911.9654166074,
1008,138260.73125342437,-3696316.4801610494,
1010,147282.37429318053,-3703488.112897288,
1011,148208.27141442883,-3705841.8040754,
1012,148398.72193531017,-3705971.0547606857,
1013,148533.587934909,-3705839.979797703,
1014,148613.0658735636,-3705836.937467401,
1015,148719.30155169088,-3706230.4014358395,
1016,140369.5441638647,-3695925.2252480416,
1017,144387.60301192064,-3701318.6421008976,
1018,142508.85158706576,-3698628.4002779126,
1019,142251.77252327692,-3698132.887996903,
1021,141672.40530453235,-3697005.91263642,
1022,146951.8567877145,-3702601.6670264504,
1023,147366.79110234784,-3703108.987184476,
1025,148600.14480758974,-3702639.401280878,
1026,141507.10282820175,-3694109.129782868,
1027,141897.91854827173,-3693973.181091634,
1028,146553.36517637086,-3703363.787840797,
1029,147539.26345339432,-3687053.902493609,
1030,140544.81021953,-3693657.644376823,
1031,146450.58765110417,-3703588.7431291672,
1032,141175.5610351541,-3693063.0996308285,
1033,141422.42185620955,-3697361.652959349,
1034,139754.41541714157,-3694372.766957854,
1035,139362.26142197291,-3694396.7177894404,
1036,138968.7051306758,-3694124.042534987,
1037,139040.9194312385,-3693949.8608535677,
1038,135853.57624109104,-3695301.097758344,
1039,135738.24458988744,-3695190.248477437,
1040,135658.59954699563,-3695420.7717304504,
1041,144343.30681735554,-3701821.876072298,
1042,143953.72725566954,-3701719.993619569,
1043,143764.08833197373,-3700869.409257382,
1044,144253.30763513254,-3700826.726156363,
1045,140515.29630253627,-3697652.15417002,
1046,139871.43034918813,-3697536.207381904,
1047,137995.6823699588,-3695559.3223235873,
1048,137524.8843949003,-3696031.309120069,
1049,141274.95233810926,-3694771.654865039,
1050,136589.65169900018,-3694543.441226535,
1051,136721.40213806217,-3694347.038182648,
1052,147664.54312326657,-3703692.979912786,
1053,148079.43142643134,-3702948.308355023,
1054,147955.59107072215,-3702793.120259654,
1055,147545.7358920622,-3701258.2736758427,
1056,148549.2802234761,-3701823.8286750894,
1057,146133.02030700096,-3703630.9947789474,
1058,147400.98736527862,-3686420.1782140844,
1059,144573.56113512107,-3701606.8439087,
1060,145397.06924474108,-3702514.4478117237,
1061,145151.08456328436,-3702715.483980846,
1062,143736.1066572182,-3709572.8681956707,
1063,145471.50777501139,-3702871.68221402,
1064,139694.89430981549,-3708653.4150936017,
1065,145752.40286998762,-3702924.6812013667,
1066,129395.7947183587,-3703311.4554094095,
1067,147035.23454732058,-3708381.9200837426,
1068,143768.0206860965,-3710387.5984821543,
1069,140520.2810000165,-3705353.9452657686,
1070,143086.61258250877,-3708949.661545057,
1071,151737.02956690846,-3707525.5366578195,
1072,142690.7815099837,-3708885.502948321,
1073,151675.7271028903,-3707687.578520324,
1074,151005.0367182547,-3707729.2376219514,
1075,148118.34023176058,-3708268.055258962,
1076,142250.0815052069,-3699204.7682576445,
1077,142077.6058008827,-3698559.5463446337,
1078,142358.60941357605,-3699350.3594923904,
1079,142234.67608276114,-3699434.7339130454,
1080,142625.3199031961,-3699697.5103377597,
1081,148433.16810508596,-3697588.488443447,
1082,147073.006564771,-3687477.559970196,
1083,146906.06412859497,-3686705.940855262,
1084,146985.77808007048,-3687513.3177505187,
1085,131798.47783173205,-3686443.1056600264,
